agency,borough,complaint_type,days_to_closure,number_of_records,past_number_of_weeks,created_after_timestamp
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),59,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),60,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),61,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),62,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),63,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),64,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),65,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),67,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),73,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),74,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),76,1,12,2017-05-29T22:38:45.331470
DOB,MANHATTAN,BEST/Site Safety,0,2,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,BEST/Site Safety,1,10,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,BEST/Site Safety,3,4,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,BEST/Site Safety,4,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,BEST/Site Safety,5,2,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,BEST/Site Safety,6,3,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,BEST/Site Safety,25,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Boilers,0,3,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Boilers,1,3,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Boilers,2,3,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Boilers,3,6,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Boilers,4,2,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Boilers,5,2,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Boilers,6,2,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Boilers,7,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Boilers,8,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Boilers,12,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Boilers,22,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Boilers,23,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Boilers,29,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Boilers,38,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Boilers,68,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,0,7,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,1,3,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,2,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,3,2,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,4,2,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,5,3,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,6,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,7,4,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,8,3,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,9,2,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,10,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,11,2,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,12,2,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,13,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,14,2,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,15,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,16,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,17,2,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,18,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,19,2,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,27,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,30,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,34,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,35,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,37,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,40,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,42,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,47,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,51,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,53,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,58,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,60,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,61,5,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,62,7,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,63,2,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,64,2,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,65,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,66,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,67,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,68,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,69,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,70,2,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,72,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,74,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,75,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,76,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Building/Use,77,2,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Cranes and Derricks,0,5,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Cranes and Derricks,1,8,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Cranes and Derricks,2,3,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Cranes and Derricks,3,5,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Cranes and Derricks,4,4,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Cranes and Derricks,6,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Cranes and Derricks,8,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Cranes and Derricks,16,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Cranes and Derricks,32,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,0,9,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,1,18,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,2,18,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,3,7,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,4,22,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,5,13,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,6,7,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,7,14,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,8,8,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,10,2,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,11,4,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,12,3,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,13,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,14,3,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,15,2,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,17,3,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,20,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,21,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,25,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,35,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,37,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Electrical,53,1,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Elevator,0,97,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Elevator,1,109,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Elevator,2,64,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Elevator,3,51,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Elevator,4,52,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Elevator,5,47,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Elevator,6,52,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Elevator,7,44,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Elevator,8,24,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Elevator,9,23,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Elevator,10,18,12,2017-05-29T22:42:20.133337
DOB,MANHATTAN,Elevator,11,17,12,2017-05-29T22:42:20.133337
